Día,Entrada,Salida,h:m,Tiempo,Tarifa (horaria),Pesos,Presupuesto,Approved,Estado,Billable,Customer,Project,Activity,Description,Comentario,Location,Tracking Number,Nombre de usuario,despejado
06.05.,01:20,03:20,2:00,2.00,0.00,0.00,,,open,0%,Bitson,Servidores,DevOps,Failed docker-compose to SGS.,,,,lcolombo,0
05.05.,22:30,01:20,2:50,2.83,0.00,0.00,,,open,0%,Bitson,Servidores,DevOps,Instalacion prueba SGS con vagrant. Update wikis. Carga de issues.,,,,lcolombo,0
05.05.,18:00,18:20,0:20,0.33,0.00,0.00,,,open,0%,Bitson,Servidores,DevOps,"Finally, succesfull deploy of SGS Front!",,,,lcolombo,0
04.05.,23:00,00:40,1:40,1.67,0.00,0.00,,,open,0%,Bitson,Servidores,DevOps,Failed deploy SGS Front,,,,lcolombo,0
04.05.,15:15,15:35,0:20,0.33,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,acuervo,0
04.05.,15:15,18:00,2:45,2.75,0.00,0.00,,,open,0%,Bitson,Servidores,DevOps,"Instalación de kimai.bitson.group en VM en pumba con HTTPS y docker.
Instalación de cloud.bitson.group en VM en pumba con HTTPS y docker.",,,,lcolombo,0
04.05.,15:02,16:14,1:12,1.20,0.00,0.00,,,open,%,Aptage,Aptage,Desarrollo,,,,,nespino,0
04.05.,14:45,15:15,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Comunicación,Reunión con @malecuervo y @cuberti,,,,lcolombo,0
04.05.,14:30,15:15,0:45,0.75,0.00,0.00,,,open,0%,Bitson,Bitson,Comunicación,Reunión(analisis redes)-demo landing,,,,acuervo,0
04.05.,14:15,14:30,0:15,0.25,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,acuervo,0
04.05.,14:00,14:45,0:45,0.75,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión operativa,Revisión de status de proyecto con @marcosdmyr.,,,,lcolombo,0
04.05.,11:50,15:02,3:12,3.21,0.00,0.00,,,open,%,INFD,INFD (Ministerio de Educación),Desarrollo,,,,,nespino,0
04.05.,11:34,11:50,0:16,0.27,0.00,0.00,,,open,0%,Aptage,Aptage,Desarrollo,,,,,nespino,0
04.05.,11:16,13:47,2:30,2.51,0.00,0.00,,,open,%,Bitson,Bitson,Gestión Interna,,,,,acuervo,0
04.05.,10:30,12:00,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Servidores,DevOps,Consulta en sysarmy y arreglo de NAT loopback.,,,,lcolombo,0
04.05.,08:00,10:11,2:11,2.19,0.00,0.00,,,open,0%,Bitson,Bitson,Comunicación,,,,,cuberti,0
03.05.,23:00,23:45,0:45,0.75,0.00,0.00,,,open,0%,Bitson,Servidores,DevOps,Intento de NAT loopback fallido.,,,,lcolombo,0
03.05.,20:01,20:43,0:41,0.70,0.00,0.00,,,open,0%,INFD,INFD (Ministerio de Educación),Desarrollo,,,,,nespino,0
03.05.,17:00,18:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión operativa,Respuestas mails varios. Coordinación proyectos Marcos.,,,,lcolombo,0
03.05.,16:47,20:01,3:13,3.23,0.00,0.00,,,open,%,Aptage,Aptage,Desarrollo,,,,,nespino,0
03.05.,15:55,19:03,3:08,3.14,0.00,0.00,,,open,0%,Bitson,Bitson,Desarrollo,,,,,acuervo,0
03.05.,14:55,16:47,1:52,1.87,0.00,0.00,,,open,0%,INFD,INFD (Ministerio de Educación),Desarrollo,,,,,nespino,0
03.05.,14:35,15:55,1:20,1.33,0.00,0.00,,,open,0%,Bitson,Bitson,Desarrollo,,,,,acuervo,0
03.05.,13:35,14:20,0:44,0.75,0.00,0.00,,,open,0%,Aptage,Aptage,Desarrollo,,,,,nespino,0
03.05.,13:11,13:32,0:20,0.35,0.00,0.00,,,open,0%,Aptage,Aptage,Desarrollo,,,,,nespino,0
03.05.,13:10,13:50,0:40,0.67,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,acuervo,0
03.05.,13:00,14:30,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Charla/Reunión con Fernando Aurelio.,,,,lcolombo,0
03.05.,12:30,12:58,0:28,0.47,0.00,0.00,,,open,0%,Bitson,Bitson,Comunicación,,,,,cuberti,0
03.05.,12:13,13:11,0:58,0.97,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión operativa,,,,,nespino,0
03.05.,12:00,13:10,1:10,1.17,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,Mopla,,,,acuervo,0
03.05.,12:00,13:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Molinete Plastico,Gestión operativa,Coordinación actividades MoPla,,,,lcolombo,0
03.05.,11:30,12:13,0:42,0.71,0.00,0.00,,,open,%,Aptage,Aptage,Desarrollo,,,,,nespino,0
03.05.,11:20,11:30,0:10,0.18,0.00,0.00,,,open,0%,INFD,INFD (Ministerio de Educación),Desarrollo,,,,,nespino,0
03.05.,11:15,12:00,0:45,0.75,0.00,0.00,,,open,0%,Bitson,Servidores,DevOps,Intento fix acceso horas.bitson.group desde la oficina.,,,,lcolombo,0
03.05.,10:34,12:00,1:25,1.43,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,acuervo,0
03.05.,10:10,10:30,0:20,0.33,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,acuervo,0
03.05.,08:30,11:00,2:30,2.50,0.00,0.00,,,open,0%,Bitson,Bitson,Comunicación,,,,,cuberti,0
02.05.,18:50,20:10,1:20,1.33,0.00,0.00,,,open,0%,Anting,Vindu,Gestión Comercial,Revisión de alcance de proyecto,,,,lcolombo,0
02.05.,17:50,18:50,1:00,1.00,0.00,0.00,,,open,0%,Martin Stefanelli,Teora Stock,Gestión Comercial,"Llamada por teléfono.
Edición de presupuesto.",,,,lcolombo,0
02.05.,17:10,17:50,0:40,0.67,0.00,0.00,,,open,0%,Martin Stefanelli,Teora Stock,Gestión operativa,Revisión alcance proyecto con @marcosdmyr,,,,lcolombo,0
02.05.,16:33,20:26,3:52,3.88,0.00,0.00,,,open,%,Aptage,Aptage,Desarrollo,,,,,nespino,0
02.05.,15:30,18:30,3:00,3.00,0.00,0.00,,,open,0%,Bitson,Bitson,Desarrollo,,,,,acuervo,0
02.05.,15:08,16:33,1:24,1.42,0.00,0.00,,,open,%,INFD,INFD (Ministerio de Educación),Desarrollo,,,,,nespino,0
02.05.,14:40,15:30,0:50,0.83,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,acuervo,0
02.05.,14:27,15:08,0:41,0.68,0.00,0.00,,,open,%,Aptage,Aptage,Desarrollo,,,,,nespino,0
02.05.,14:15,17:10,2:55,2.92,0.00,0.00,,,open,0%,Anting,Vindu,Gestión Comercial,Revisión alcance proyecto.,,,,lcolombo,0
02.05.,14:01,14:27,0:26,0.44,0.00,0.00,,,open,%,INFD,INFD (Ministerio de Educación),Desarrollo,,,,,nespino,0
02.05.,13:30,14:00,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,acuervo,0
02.05.,13:08,13:45,0:37,0.62,0.00,0.00,,,open,0%,INFD,INFD (Ministerio de Educación),Desarrollo,,,,,nespino,0
02.05.,12:00,13:05,1:04,1.07,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,nespino,0
02.05.,12:00,13:05,1:05,1.08,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,,,,,cuberti,0
02.05.,12:00,13:05,1:05,1.08,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,,,,,acuervo,0
02.05.,12:00,13:05,1:05,1.08,0.00,0.00,,,open,0%,Pierre,Adecuación Hombre Puesto,Reunion,Asamblea bitson.,,,,lcolombo,0
02.05.,11:57,12:00,0:03,0.05,0.00,0.00,,,open,%,INFD,INFD (Ministerio de Educación),Desarrollo,,,,,nespino,0
02.05.,11:25,11:57,0:32,0.54,0.00,0.00,,,open,0%,Aptage,Aptage,Desarrollo,,,,,nespino,0
02.05.,10:46,11:25,0:38,0.64,0.00,0.00,,,open,0%,INFD,INFD (Ministerio de Educación),Desarrollo,,,,,nespino,0
02.05.,10:35,10:46,0:11,0.19,0.00,0.00,,,open,0%,INFD,INFD (Ministerio de Educación),Desarrollo,,,,,nespino,0
