Entrada,Salida,Customer,Project,Activity,Description,socio,Duration
2017-12-31 10:55:00,2017-12-31 13:15:00,Bitson,Bitson,Gestión Interna,Planilla de retiros 2018.,lcolombo,0 days 02:20:00.000000000
2017-12-30 18:00:00,2017-12-30 18:50:00,Bitson,Bitson,Gestión Comercial,Update propuesta Ojumble. Videocall con Germán y update tarjeta de HubSpot.,lcolombo,0 days 00:50:00.000000000
2017-12-30 16:30:00,2017-12-30 16:45:00,Bitson,Bitson,Gestión Comercial,Reacomodando tarjetas de HubSpot,lcolombo,0 days 00:15:00.000000000
2017-12-30 16:15:00,2017-12-30 16:30:00,Bitson,Bitson,Gestión Comercial,Respuesta mail presupuesto Ortopedia Central Mendoza,lcolombo,0 days 00:15:00.000000000
2017-12-30 13:00:00,2017-12-30 13:20:00,Bitson,Bitson,Gestión Comercial,Envío de presupuesto a Ortopedia Central Mendoza,lcolombo,0 days 00:20:00.000000000
2017-12-30 11:50:00,2017-12-30 12:20:00,Bitson,Bitson,Gestión Comercial,Modificación de la propuesta de Ojumble.,lcolombo,0 days 00:30:00.000000000
2017-12-29 20:15:00,2017-12-29 20:55:00,Bitson,Bitson,Gestión Comercial,Estimaciones (iteraciones) nuevo presupuesto (OT91) para Ojumble c/mantenimiento.,lcolombo,0 days 00:40:00.000000000
2017-12-29 18:30:00,2017-12-29 20:00:00,Bitson,Bitson,Gestión Comercial,Videocall con Germán Szapiro x dudas en el presupuesto.,lcolombo,0 days 01:30:00.000000000
2017-12-29 18:20:00,2017-12-29 19:54:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 01:34:00.000000000
2017-12-29 17:35:00,2017-12-29 18:15:00,Aptage,Aptage,Operativo,,nespino,0 days 00:40:00.000000000
2017-12-29 16:30:00,2017-12-29 18:00:00,Bitson,Kairos,Desarrollo,,mmesmer,0 days 01:30:00.000000000
2017-12-29 16:30:00,2017-12-29 18:00:00,Andes Líneas Aéreas,Venta Charters,Reunion,Demo final,lcolombo,0 days 01:30:00.000000000
2017-12-29 16:30:00,2017-12-29 17:30:00,Andes Líneas Aéreas,Andes,Reunion,Demo y reunion final.,ddebonis,0 days 01:00:00.000000000
2017-12-29 15:55:00,2017-12-29 16:25:00,Bitson,Bitson,Capacitación,landing / planillas / mail,acuervo,0 days 00:30:00.000000000
2017-12-29 15:53:00,2017-12-29 17:30:00,Aptage,Aptage,Operativo,,nespino,0 days 01:37:00.000000000
2017-12-29 15:37:00,2017-12-29 15:53:00,Bitson,Bitson,Presupuesto,,nespino,0 days 00:16:00.000000000
